0.999123399568	1664.3127
1.99819049818	1664.1319
2.99731389774	1663.9057
3.99638099635	1663.7017
4.99525562347	1663.5101
5.99437902304	1663.3495
6.9933989889	1663.1959
7.99254595827	1662.9992
8.99158948892	1662.8007
9.99071288849	1662.6212
10.9897328543	1662.4536
11.9888562539	1662.3003
12.9879233525	1662.1443
13.9868778509	1661.9371
14.9859449495	1661.7464
15.985021219	1661.5962
16.9840883176	1661.4616
17.9832117171	1661.3084
18.9822788158	1661.1423
19.9811298741	1660.9436
20.9802532737	1660.7582
21.9793203723	1660.5978
22.9784437718	1660.4487
23.9774637377	1660.2832
24.9765871373	1660.1004
25.9756542359	1659.9036
26.9747776354	1659.7297
27.9738447341	1659.5739
28.9727520944	1659.4554
29.971819193	1659.3353
30.9708862916	1659.1055
31.9700096911	1658.9149
32.9690532218	1658.762
33.9681766214	1658.6153
34.9670276797	1658.462
35.9663199855	1658.3073
36.9652181845	1658.1308
37.9643415841	1657.9291
38.9634086827	1657.7343
39.9624849522	1657.569
40.9615520508	1657.4095
41.9606754504	1657.3064
42.959742549	1657.1712
43.9585936073	1656.9746
44.9577170069	1656.7812
45.9567841055	1656.609
46.9559075051	1656.4476
47.9549274709	1656.316
48.9540508705	1656.1838
49.9531179691	1656.0276
50.9522413687	1655.8213
51.9513084673	1655.6744
52.9502158276	1655.541
53.9492829262	1655.4216
54.9484063258	1655.3419
55.9474734244	1655.2147
56.9465732573	1655.0229
57.945616788	1654.8441
58.944514987	1654.6876
59.9436383866	1654.5488
60.9426819172	1654.4359
61.9418053168	1654.3379
62.9408724154	1654.206
63.9399486849	1654.0521
64.9390157835	1653.884
65.9381391831	1653.7389
66.9372062817	1653.596
67.93605734	1653.4673
68.9351807396	1653.3409
69.9342478382	1653.1844
70.9333712378	1653.0225
71.9323912036	1652.8614
72.9315146032	1652.7042
73.9305817018	1652.5503
74.9295362002	1652.4105
75.9286032988	1652.292
76.9276795682	1652.1705
77.9267466668	1652.0017
78.9258700664	1651.8046
79.924937165	1651.6312
80.9240134345	1651.5173
81.9230805331	1651.4716
82.9219787322	1651.3162
83.9211021317	1651.1197
84.9201456624	1650.9314
85.919269062	1650.7834
86.9183125926	1650.6395
87.9174359922	1650.4855
88.9165030908	1650.3399
89.9153777179	1650.1892
90.9145011175	1650.0577
91.9135210833	1649.88
92.9126444829	1649.7109
93.9117115815	1649.5669
94.9108349811	1649.4341
95.9098549469	1649.3359
96.9089783465	1649.2339
97.9080454451	1649.1183
98.9069999435	1648.9796
99.9060670421	1648.8309
100.905143312	1648.6688
101.90421041	1648.517
102.90333381	1648.3824
103.902400908	1648.2803
104.901251967	1648.1264
105.900375366	1647.9504
106.899442465	1647.7973
107.898565864	1647.6646
108.89758583	1647.5498
109.89670923	1647.4307
110.895776328	1647.2857
111.894899728	1647.1183
112.893966827	1646.9649
113.892841454	1646.8171
114.891964853	1646.6815
115.890984819	1646.5547
116.890131789	1646.4275
117.889175319	1646.2514
118.888298719	1646.1135
119.887318685	1645.9943
120.886273183	1645.8987
121.885340282	1645.7806
122.884463681	1645.6421
123.88353078	1645.4755
124.882607049	1645.3243
125.881674148	1645.2062
126.880797547	1645.0703
127.879864646	1644.9144
128.878715704	1644.7833
129.877839104	1644.6156
130.876906203	1644.4515
131.876029602	1644.3222
132.875049568	1644.2181
133.874172968	1644.0938
134.873240066	1643.932
135.872194565	1643.7837
136.871261663	1643.662
137.870337933	1643.5559
138.869405031	1643.431
139.868528431	1643.2732
140.867595529	1643.1082
141.86663906	1642.9763
142.86576246	1642.8831
143.864613518	1642.7812
144.863736918	1642.6746
145.862804016	1642.5684
146.861927416	1642.4809
147.860947382	1642.3991
148.860070781	1642.2771
149.85913788	1642.1472
150.858036079	1642.0244
151.857328385	1641.9176
152.856179443	1641.8302
153.855302842	1641.7493
154.854369941	1641.627
155.853493341	1641.4962
156.852513307	1641.3755
157.851636706	1641.2815
158.850703805	1641.1763
159.849658303	1641.0374
160.848725402	1640.8972
161.847801671	1640.777
162.84686877	1640.7022
163.845992169	1640.6103
164.845059268	1640.4635
165.843933895	1640.2926
166.843202638	1640.1782
167.842077265	1640.118
168.841224235	1640.0551
169.840267765	1639.9323
170.839391165	1639.8053
171.838411131	1639.7126
172.83753453	1639.6049
173.836601629	1639.4862
174.835499828	1639.3688
175.834623228	1639.2692
176.833643193	1639.2122
177.832766593	1639.1717
178.831833692	1639.0929
179.830957091	1639.0067
180.829977057	1638.9308
181.829100457	1638.8814
182.828167555	1638.7661
183.827122054	1638.6483
184.826142019	1638.5496
185.825265419	1638.4744
186.824332518	1638.3803
187.823455917	1638.247
188.822523016	1638.1176
189.821374074	1638.0262
190.820497474	1637.9554
191.819564572	1637.8248
192.818687972	1637.6593
193.817731503	1637.5511
194.816854902	1637.4958
195.815874868	1637.4312
196.814998268	1637.2836
197.814088937	1637.1552
198.812963564	1637.0645
199.812086964	1636.9606
200.81110693	1636.8363
201.810230329	1636.6972
202.809297428	1636.5717
203.808420828	1636.5113
204.807440793	1636.4621
205.806395292	1636.3637
206.80546239	1636.2917
207.80458579	1636.2409
208.803605756	1636.172
209.802729155	1636.0854
210.801796254	1636.0081
211.800919654	1635.9274
212.799986752	1635.828
213.79883781	1635.6921
214.79796121	1635.5416
215.797028309	1635.4336
216.796151708	1635.3297
217.795171674	1635.2239
218.794295074	1635.1003
219.793362172	1635.0128
220.792316671	1634.9312
221.791360201	1634.8109
222.7904273	1634.6975
223.789550699	1634.5959
224.788570665	1634.5457
225.787694065	1634.469
226.786761163	1634.3632
